atlântida,-29.7861450000000012,-50.0328829999999982
santa cruz do sul,-29.7197684337466015,-52.429928587370398
lajeado,-29.4654544024709999,-51.9678277005001021
eldorado do sul,-29.9992925945868016,-51.3104189260129999
alvorada,-29.9974930647423008,-51.077729454200103
canoas,-29.9186967064906,-51.1810297806876022
portão,-29.6962586011397001,-51.2301496442456994
novo hamburgo,-29.6863260251771983,-51.1286052776318982
dois irmãos,-29.5841587789047011,-51.0876193130209018
bento gonçalves,-29.1674019331912007,-51.5155603063238985
gravataí,-29.9455189133363007,-50.9907929747741022
sapiranga,-29.6385541176145004,-51.0036229878238032
taquara,-29.6505131042757988,-50.7811686192558014
canela,-29.357971850415101,-50.8148673493636025
maquiné,-29.6791370128964012,-50.2033948126292984
xangri-lá,-29.8053781854105004,-50.0390814237967021
capão da canoa,-29.7614666401197994,-50.0200224442732022
nova prata,-28.7839447131901984,-51.6089956920177002
rebouças,-25.6263927557656004,-50.6812544333183013
criciúma,-28.673572252674699,-49.3659395588221983
indaial,-26.9062559992379988,-49.2401404600146009
garopaba,-28.0208959348260009,-48.6125566828537998
palhoça,-27.6470436836907005,-48.6702879187121979
biguaçu,-27.4943227434700006,-48.6544889289505988
porto belo,-27.1494662097186001,-48.6027567395843008
bombinhas,-27.1442546993321017,-48.5213451348448004
blumenau,-26.9161077053067004,-49.0576308843612026
itajaí,-26.9074262397994985,-48.6570232083487966
são josé dos pinhais,-25.5377019999999995,-49.2000824656673004
curitiba,-25.4329560000000008,-49.2718478850773991
joinville,-26.3045176486541017,-48.8494091432379989
sorocaba,-23.4993230000000004,-47.4578532532040001
barueri,-23.5089019999999991,-46.8746528865304981
carapicuíba,-23.535249499999999,-46.8414454319095981
osasco,-23.5336120000000015,-46.7888101442714017
diadema,-23.6892950000000013,-46.6233813932029975
são paulo,-23.5673865000000013,-46.5703831821126997
itupeva,-23.1534096261862992,-47.0557011520917001
atibaia,-23.1163080000000001,-46.5550625006743033
santos,-23.9337374999999994,-46.3313708491906979
santo andré,-23.6575099999999985,-46.5308742576294989
guarulhos,-23.4685060000000014,-46.5310840856610994
itaquaquecetuba,-23.4768974999999998,-46.3516031409654019
ilhabela,-23.7886525000000013,-45.3540566669408989
campos do jordão,-22.7400919138812014,-45.5892017004491024
ubatuba,-23.4359649805168999,-45.0720914754799011
paraty,-23.2194136073409005,-44.7108585020174019
rio de janeiro,-22.8766521181864988,-43.2278751249952009
niterói,-22.8964523851273007,-43.0758231672734979
são gonçalo,-22.8295473130261009,-43.0323350619648011
teresópolis,-22.4090049455632006,-42.9629567139024005
lavras,-21.2428702373007994,-44.9999311091152023
tiradentes,-21.1070434367549993,-44.1726923811066996
belo horizonte,-19.9375242937750983,-43.9264531735304971
armação dos búzios,-22.7577637929238001,-41.8877494680881028
afonso cláudio,-20.0770400098969013,-41.1254597171689014
feira de santana,-12.2292842524801006,-38.9600330963214034
nova santa rita,-8.07496471811903049,-42.0482620010711017
são sebastião,-9.93165738892366967,-36.5510919020051972
agudo,-29.6456633632496001,-53.2586916877150998
santa rosa,-27.8667497989229993,-54.4782240987608972
ajuricaba,-28.2377290066892996,-53.772818889987299
acorizal,-15.1978899803338994,-56.3715525667098021
acrelândia,-10.0737938924635007,-67.0523165800206016
borba,-4.39061989147273035,-59.5945590194968986
viamão,-30.0818968409400007,-51.0248204895730026
gramado,-29.3797375183577003,-50.8719457002814011
soledade,-28.8277379536691996,-52.5098661711662018
Água santa,-28.1750547485119007,-52.0346327891623019
Águas frias,-26.8802275430244997,-52.8594194493504972
Água doce,-27.0040916588601014,-51.5590965552946017
abdon batista,-27.6089871233362985,-51.0252722110367003
agrolândia,-27.4005165879984993,-49.8256533877284014
Águas mornas,-27.7065971917498004,-48.8405384028277965
agudos do sul,-25.9906180905956994,-49.3387018845930996
adrianópolis,-24.6616897054529005,-48.991754538425397
adamantina,-21.6883114799999994,-51.0733647495817991
Água clara,-20.4488507623246001,-52.8751175514538971
abatiá,-23.300494037122899,-50.3125265828820005
agudos,-22.4740369999999992,-48.9901562879423977
Águas de são pedro,-22.5973395538538995,-47.8839747409775995
adolfo,-21.2327297773479984,-49.6497214255595978
Água comprida,-20.0593124134427008,-48.108076774167202
acreúna,-17.3981562192276016,-50.374973366655297
Água limpa,-18.0714060588379013,-48.7612409591411975
adelândia,-16.4150015120189003,-50.1631466761093989
abadiânia,-16.1826718580047988,-48.7188121416752011
mairiporã,-23.3224593829704006,-46.5901958731419015
Águas de lindóia,-22.4738220361706986,-46.6317788359221979
aguaí,-22.0596840000000007,-46.9796931092696965
Águas da prata,-21.9348290000000006,-46.7167667096260999
guaxupé,-21.3037814647476011,-46.7135372309765984
abaeté,-19.1558476941445015,-45.4461914172049006
alagoa,-22.1711356644334003,-44.6380988671778027
acaiaca,-20.3604089312559005,-43.1482389018347021
nova lima,-19.9838929938666006,-43.8497833626163001
abadia dos dourados,-18.4875649589390001,-47.3968324406221981
aimorés,-19.4919501492682983,-41.0733274627961009
açucena,-19.0767128936333989,-42.5462108797345024
Água boa,-17.9910530496416001,-42.389643230084701
Água doce do norte,-18.5455464912765997,-40.9764559118819989
Águia branca,-18.9873613695252992,-40.736638167374899
Águas vermelhas,-15.7453199451695003,-41.4587883041199987
abreulândia,-9.62179071199835967,-49.1624375554796984
Água azul do norte,-6.80494886740537996,-50.4852745072531022
aguiarnópolis,-6.54717082061810007,-47.4704565879450016
açailândia,-4.95137700016247972,-47.5066645931118998
afuá,-0.159171693779797008,-50.3914275892332029
abaetetuba,-1.72346986284590997,-48.8844038207231009
